common_name,scientific_name,worms_alpha_id,phylum,class,order,family,genus,species,,selenium (mcg),zinc (mg),omega_3 (mg),calcium (mg),iron (mg),vitamin_a (mcg),vitamin D (mcg),D2 ERGCAL(mcg),D3 CHOCAL(mcg),folate (mcg),vitamin_b12 (mg),iodine (mcg)
Shortfin Squid,Illex coindetii,140621,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Illex,Illex coindetii,,,,,,,,,,,,,
Common cuttlefish,Sepia officinalis,141444,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,Sepia officinalis,,65,1.2,200,59,3.4,0,,,0,13,2,
Anchovy,Engraulis encrasicolus,400098,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,,36.5,1.72,1637,147,3.25,15,,,,9,0.62,
Blue ling,Molva dypterygia,154806,Chordata,Actinopteri,Gadiformes,Lotidae,Molva,Molva dypterygia,,29.8,0.305,381,16.4,0.278,10.9,,0,,,,
Boarfish,Capros aper,127419,Chordata,Actinopteri,Acanthuriformes,Caproidae,Capros,Capros aper,,37,0.767,313,74.7,1.11,18.1,,,,,,
Greater silver smelt,Argentina silus,126715,Chordata,Actinopteri,Argentiniformes,Argentinidae,Argentina,Argentina silus,,22.1,0.487,180,26.6,0.366,24.9,,,,,,
Megrim,Lepidorhombus whiffiagonis,127146,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Lepidorhombus,Lepidorhombus whiffiagonis,,14.6,0.285,350,21.2,0.309,12.1,,,,,,
Common octopus ,Octopus vulgaris,140605,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,Octopus vulgaris,,44.8,1.68,239,53,5.3,45,,,0,16,20,41
Red seabream,Pagellus bogaraveo,127059,Chordata,Actinopteri,Perciformes,Sparidae,Pagellus,Pagellus bogaraveo,,47.9,0.275,742,41.2,0.167,10.4,,,,,,
Round nose grenadier,Coryphaenoides rupestris,158960,Chordata,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,Coryphaenoides rupestris,,26.9,0.429,104,17.4,0.296,21.2,,,0.52,,,
